,代码,名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
176,300610,晨化股份,16.46,1.21,7.93,158007,254260386.0,6.89,16.55,15.5,15.56,15.25,0.73,9.92,20.12,3.57,3503955420,2621914799
177,601208,东材科技,15.93,1.16,7.85,107726,167567867.0,7.65,16.07,14.94,14.94,14.77,0.85,1.34,39.68,4.12,14308104764,12795323274
178,300515,三德科技,11.43,0.83,7.83,31812,35664438.0,8.11,11.52,10.66,10.66,10.6,0.73,1.8,29.4,4.1,2353088385,2019255518
179,002198,嘉应制药,7.58,0.55,7.82,186081,136700188.0,9.67,7.63,6.95,7.03,7.03,1.73,3.67,459.52,5.6,3846924648,3846924648
180,300735,光弘科技,13.11,0.95,7.81,129608,167277635.0,8.8,13.25,12.18,12.18,12.16,1.01,1.73,47.33,2.44,10155282883,9837638582
181,300340,科恒股份,17.25,1.25,7.81,88156,148686232.0,7.19,17.28,16.13,16.21,16.0,0.86,4.88,226.36,5.21,3659496420,3114796620
182,600979,广安爱众,3.73,0.27,7.8,1267956,472636624.0,8.96,3.81,3.5,3.5,3.46,1.58,10.29,21.95,1.14,4596329017,4596329017
183,688029,南微医学,258.11,18.66,7.79,13101,338483232.0,14.78,270.6,235.21,235.21,239.45,1.15,2.98,120.1,12.74,34416387400,11355162285
184,002289,宇顺电子,9.13,0.66,7.79,52996,47936437.0,9.56,9.27,8.46,8.46,8.47,2.31,2.0,-98.32,8.97,2558716582,2414193247
185,002407,多氟多,53.73,3.87,7.76,449228,2353829536.0,7.12,53.8,50.25,50.81,49.86,0.94,7.34,66.84,9.38,41161886157,32906493723
186,000683,远兴能源,9.51,0.68,7.7,1730060,1611893872.0,7.59,9.57,8.9,9.08,8.83,0.84,5.2,13.92,3.06,34934153446,31651390963
187,002953,日丰股份,14.97,1.07,7.7,59736,88586255.0,8.78,15.12,13.9,13.9,13.9,2.66,8.1,22.93,3.35,3643102478,1104475013
188,688609,九联科技,13.31,0.95,7.69,95703,126421732.0,8.09,13.64,12.64,12.7,12.36,0.72,11.26,107.84,5.42,6655000000,1131350000
189,300497,富祥药业,21.74,1.55,7.68,412424,893206128.0,11.29,22.5,20.22,20.52,20.19,0.79,9.26,39.24,3.92,11957105091,9685510927
190,600714,金瑞矿业,11.37,0.81,7.67,69182,77965685.0,8.33,11.5,10.62,10.62,10.56,1.07,2.4,78.45,5.1,3276564224,3276564224
191,000737,南风化工,8.45,0.6,7.64,137609,114406689.0,7.39,8.53,7.95,7.97,7.85,0.8,2.51,235.3,9.02,4637022000,4637022000
192,300487,蓝晓科技,73.39,5.21,7.64,40144,291161376.0,7.26,73.85,68.9,69.23,68.18,1.03,3.13,53.67,8.64,16129960897,9410289933
193,300593,新雷能,52.85,3.75,7.64,50297,260284306.0,9.96,53.8,48.91,48.91,49.1,1.52,2.37,58.54,15.02,13998011664,11200232551
194,600116,三峡水利,11.14,0.79,7.63,539105,589859760.0,10.14,11.3,10.25,10.35,10.35,0.99,3.98,24.66,2.04,21301271951,15081825446
195,300494,盛天网络,14.0,0.99,7.61,80189,110911171.0,7.53,14.18,13.2,13.2,13.01,1.05,4.46,23.99,4.24,3360000000,2515628178
196,300712,永福股份,51.45,3.63,7.59,55335,278201136.0,8.76,51.7,47.51,48.1,47.82,1.12,3.04,365.9,8.97,9369250800,9369250800
197,688083,中望软件,397.0,28.0,7.59,6610,258285124.0,8.91,399.95,367.06,369.0,369.0,1.41,4.69,252.71,9.21,24591711229,5598768724
198,600163,中闽能源,9.5,0.67,7.59,1479585,1376334464.0,11.89,9.71,8.66,8.88,8.83,0.97,12.82,28.66,4.69,18078463359,10964532683
199,600673,东阳光,8.51,0.6,7.59,654419,549102576.0,7.08,8.6,8.04,8.04,7.91,0.69,2.18,153.3,3.63,25648265674,25563611156
200,300827,上能电气,107.1,7.53,7.56,89181,948996208.0,12.05,111.0,99.0,102.14,99.57,1.22,16.54,295.37,16.55,14137251408,5775418908
201,688518,联赢激光,30.19,2.12,7.55,25690,75627074.0,10.79,30.63,27.6,28.71,28.07,0.71,1.03,184.78,6.31,9032848000,7516403847
202,600123,兰花科创,12.84,0.9,7.54,654106,800884544.0,10.8,12.91,11.62,12.29,11.94,0.93,5.73,10.55,1.28,14668416000,14668416000
203,603876,鼎胜新材,41.4,2.9,7.53,76905,313203872.0,8.29,41.79,38.6,38.61,38.5,1.02,1.59,65.84,4.6,20022723117,20022723117
204,002329,皇氏集团,4.57,0.32,7.53,145579,65173653.0,9.88,4.65,4.23,4.23,4.25,1.57,2.73,182.21,1.95,3828014960,2436382749
205,300786,国林科技,31.3,2.19,7.52,43307,134021404.0,9.17,31.79,29.12,30.06,29.11,1.05,8.32,45.88,2.66,3199831677,1628848870
206,000552,靖远煤电,3.87,0.27,7.5,940471,356037632.0,10.28,3.92,3.55,3.6,3.6,1.06,4.12,15.44,1.15,8850577964,8838078684
207,603959,百利科技,16.26,1.13,7.47,65656,105586147.0,8.06,16.43,15.21,15.21,15.13,0.56,1.34,108.46,12.13,7972261610,7972261610
208,002643,万润股份,18.86,1.31,7.46,91062,169661990.0,7.58,18.99,17.66,17.66,17.55,0.96,1.02,28.48,3.26,17146252435,16893929116
209,000510,新金路,6.64,0.46,7.44,339905,221321923.0,8.25,6.71,6.2,6.25,6.18,0.78,6.04,12.49,3.56,4044970167,3739553426
210,603628,清源股份,11.87,0.82,7.42,59472,69556133.0,9.14,12.06,11.05,11.05,11.05,0.77,2.17,45.88,3.33,3250006000,3250006000
211,002178,延华智能,3.62,0.25,7.42,259550,92226691.0,8.31,3.66,3.38,3.38,3.37,0.72,3.65,-174.18,4.62,2577993864,2574748950
212,300171,东富龙,45.01,3.1,7.4,79779,358512128.0,8.57,45.93,42.34,42.91,41.91,1.1,1.86,41.56,7.5,28281450170,19258767490
213,300382,斯莱克,25.12,1.73,7.4,87386,216785040.0,10.0,25.39,23.05,23.78,23.39,0.73,1.55,191.8,13.59,14182127969,14180675405
214,002495,佳隆股份,2.76,0.19,7.39,328723,89374489.0,8.95,2.8,2.57,2.57,2.57,1.61,4.6,70.87,2.13,2582326656,1970460332
215,688668,鼎通科技,38.81,2.67,7.39,4350,16469589.0,8.33,38.9,35.89,36.21,36.14,1.02,2.07,28.85,4.41,3304283400,817066930
216,300608,思特奇,13.56,0.93,7.36,163132,217221806.0,6.65,13.75,12.91,12.94,12.63,0.62,10.0,-239.41,3.34,2846134300,2212353419
217,300531,优博讯,17.4,1.19,7.34,130032,223077703.0,8.64,17.61,16.21,16.27,16.21,0.71,4.28,34.74,3.6,5760229458,5291914705
