,code,market,decimal,prePrice,details
248,688103,1,2,53.73,"10:35:21,52.22,8,2,2"
249,688103,1,2,53.73,"10:35:42,52.36,2,1,2"
250,688103,1,2,53.73,"10:36:03,52.46,2,1,2"
251,688103,1,2,53.73,"10:36:27,52.22,2,1,1"
252,688103,1,2,53.73,"10:36:51,52.22,2,1,2"
253,688103,1,2,53.73,"10:37:21,52.30,2,1,2"
254,688103,1,2,53.73,"10:37:48,52.02,12,5,1"
255,688103,1,2,53.73,"10:37:51,52.27,5,1,2"
256,688103,1,2,53.73,"10:38:27,52.26,2,1,2"
257,688103,1,2,53.73,"10:38:57,52.26,2,1,2"
258,688103,1,2,53.73,"10:39:21,52.26,2,1,2"
259,688103,1,2,53.73,"10:39:48,52.26,2,1,2"
260,688103,1,2,53.73,"10:40:09,52.26,2,1,2"
261,688103,1,2,53.73,"10:40:36,52.26,2,1,2"
262,688103,1,2,53.73,"10:40:51,52.26,22,2,2"
263,688103,1,2,53.73,"10:40:54,52.01,56,12,1"
264,688103,1,2,53.73,"10:40:57,52.02,2,1,1"
265,688103,1,2,53.73,"10:41:36,52.26,2,1,2"
266,688103,1,2,53.73,"10:42:03,52.27,2,1,2"
267,688103,1,2,53.73,"10:42:27,52.27,2,1,2"
268,688103,1,2,53.73,"10:42:54,52.26,2,1,2"
269,688103,1,2,53.73,"10:43:15,52.26,2,1,2"
270,688103,1,2,53.73,"10:43:42,52.59,2,2,2"
271,688103,1,2,53.73,"10:44:06,52.27,2,1,2"
272,688103,1,2,53.73,"10:44:33,52.06,4,3,1"
273,688103,1,2,53.73,"10:45:09,52.41,2,1,2"
274,688103,1,2,53.73,"10:45:33,52.41,2,1,2"
275,688103,1,2,53.73,"10:45:45,52.40,2,1,2"
276,688103,1,2,53.73,"10:46:03,52.40,2,1,2"
277,688103,1,2,53.73,"10:46:48,52.36,2,1,2"
278,688103,1,2,53.73,"10:47:03,52.36,2,1,2"
279,688103,1,2,53.73,"10:47:09,52.12,2,1,1"
280,688103,1,2,53.73,"10:47:33,52.36,2,1,2"
281,688103,1,2,53.73,"10:47:54,52.14,4,2,1"
282,688103,1,2,53.73,"10:48:21,52.38,2,1,2"
